,listing_id,variable,value
791,18894921,price,168.0
792,18897481,price,148.0
793,18909113,price,125.0
794,18913359,price,350.0
795,18914357,price,424.0
796,18917744,price,233.0
797,18935250,price,125.0
798,18946167,price,215.0
799,18949400,price,152.0
800,18972366,price,174.0
801,18980403,price,40.0
802,18980880,price,296.0
803,18993540,price,200.0
804,19000807,price,354.0
805,19014703,price,250.0
806,19018710,price,198.0
807,19019070,price,145.0
808,19022941,price,250.0
809,19050386,price,85.0
810,19055891,price,175.0
811,19057656,price,393.0
812,19057800,price,175.0
813,19070991,price,225.0
814,19071363,price,500.0
815,19073601,price,100.0
816,19084844,price,75.0
817,19085886,price,94.0
818,19094811,price,371.0
819,19101912,price,300.0
820,19120673,price,975.0
821,19136713,price,81.0
822,19137495,price,200.0
823,19138815,price,51.0
824,19162925,price,170.0
825,19199606,price,139.0
826,19208688,price,75.0
827,19209231,price,264.0
828,19211342,price,125.0
829,19230547,price,51.0
830,19236655,price,160.0
831,19251596,price,200.0
832,19271929,price,125.0
833,19273894,price,120.0
834,19274855,price,300.0
835,19296579,price,275.0
836,19298482,price,336.0
837,19332346,price,225.0
838,19388671,price,135.0
839,19406398,price,90.0
840,19408516,price,395.0
841,19434101,price,252.0
842,19437169,price,104.0
843,19441847,price,669.0
844,19470470,price,109.0
845,19470851,price,270.0
846,19471902,price,289.0
847,19507901,price,235.0
848,19550189,price,40.0
849,19556723,price,337.0
850,19607378,price,83.0
851,19627518,price,173.0
852,19662425,price,45.0
853,19676826,price,250.0
854,19680779,price,225.0
855,19697558,price,300.0
856,19699282,price,285.0
857,19744355,price,136.0
858,19762397,price,130.0
859,19792418,price,46.0
860,19802831,price,325.0
861,19804238,price,85.0
862,19805434,price,175.0
863,19826523,price,55.0
864,19831337,price,100.0
865,19862607,price,108.0
866,19866248,price,147.0
867,19879167,price,275.0
868,19893714,price,115.0
869,19915265,price,205.0
870,19925483,price,113.0
871,19931091,price,155.0
872,19931966,price,125.0
873,19981757,price,212.0
874,19984705,price,286.0
875,19995392,price,450.0
876,20002260,price,200.0
877,20073140,price,112.0
878,20088165,price,41.0
879,20090741,price,165.0
880,20095858,price,214.0
881,20155636,price,230.0
882,20157432,price,74.0
883,20208829,price,275.0
884,20215396,price,303.0
885,20216848,price,142.0
886,20234950,price,400.0
887,20235568,price,178.0
888,20256716,price,110.0
889,20307736,price,60.0
890,20359188,price,100.0
891,20361528,price,80.0
892,20366334,price,85.0
893,20426923,price,206.0
894,20434400,price,96.0
895,20457117,price,250.0
896,20498335,price,170.0
897,20504139,price,389.0
898,20506575,price,46.0
899,20536417,price,320.0
900,20541307,price,190.0
901,20555247,price,205.0
902,20559146,price,100.0
903,20563115,price,80.0
904,20586963,price,80.0
905,20623507,price,159.0
906,20634649,price,175.0
907,20642417,price,100.0
908,20697602,price,110.0
909,20730379,price,85.0
910,20747426,price,176.0
911,20747473,price,107.0
912,20761423,price,134.0
913,20762078,price,163.0
914,20764297,price,160.0
915,20773659,price,181.0
916,20798979,price,82.0
917,20799287,price,85.0
918,20856734,price,109.0
919,20873976,price,124.0
920,20887111,price,123.0
921,20887745,price,189.0
922,20900425,price,206.0
923,20913466,price,85.0
924,20980500,price,304.0
925,20982614,price,125.0
926,20997043,price,240.0
927,21011527,price,125.0
928,21030772,price,130.0
929,21066390,price,136.0
930,21097026,price,172.0
931,21100013,price,150.0
932,21112252,price,175.0
933,21128612,price,223.0
934,21137609,price,140.0
935,21140065,price,196.0
936,21141339,price,430.0
937,21142387,price,100.0
938,21162408,price,499.0
939,21163623,price,177.0
940,21188818,price,175.0
941,21215931,price,259.0
942,21229518,price,424.0
943,21239164,price,89.0
944,21250212,price,221.0
945,21264147,price,209.0
946,21276385,price,255.0
947,21281197,price,99.0
948,21298863,price,180.0
949,21343975,price,68.0
950,21344002,price,125.0
951,21356520,price,73.0
952,21363777,price,109.0
953,21391849,price,80.0
954,21409855,price,429.0
955,21412468,price,123.0
956,21412609,price,293.0
957,21455497,price,298.0
958,21462888,price,200.0
959,21487129,price,808.0
960,21504385,price,141.0
961,21527208,price,205.0
962,21532511,price,351.0
963,21536629,price,225.0
964,21549963,price,188.0
965,21564437,price,300.0
966,21567998,price,243.0
967,21569274,price,120.0
968,21577211,price,110.0
969,21581560,price,165.0
970,21607882,price,145.0
971,21621989,price,295.0
972,21627553,price,170.0
973,21643708,price,109.0
974,21666600,price,94.0
975,21701347,price,461.0
976,21728058,price,95.0
977,21752149,price,65.0
978,21813103,price,200.0
979,21824993,price,310.0
980,21853186,price,577.0
981,21879605,price,120.0
982,21908772,price,581.0
983,21912838,price,253.0
984,21935365,price,27.0
985,21935901,price,274.0
986,21949883,price,156.0
987,21984466,price,66.0
988,21985887,price,100.0
989,22032043,price,222.0
990,22036501,price,258.0
991,22049481,price,94.0
992,22059982,price,160.0
993,22102093,price,90.0
994,22103390,price,110.0
995,22143965,price,258.0
996,22162819,price,270.0
997,22189491,price,160.0
998,22228696,price,200.0
999,22231178,price,175.0
1000,22292913,price,159.0
1001,22295849,price,246.0
1002,22298691,price,205.0
1003,22298696,price,175.0
1004,22310305,price,277.0
1005,22324957,price,42.0
1006,22326190,price,127.0
1007,22389548,price,175.0
1008,22391348,price,210.0
1009,22422543,price,176.0
1010,22424497,price,80.0
1011,22434573,price,80.0
1012,22434983,price,175.0
1013,22450798,price,350.0
1014,22505866,price,159.0
1015,22519199,price,100.0
1016,22551920,price,90.0
1017,22569894,price,199.0
1018,22573163,price,110.0
1019,22587726,price,100.0
1020,22618949,price,340.0
1021,22631875,price,80.0
1022,22659767,price,175.0
1023,22659967,price,175.0
1024,22660264,price,74.0
1025,22692270,price,165.0
1026,22696589,price,110.0
1027,22698900,price,139.0
1028,22702051,price,139.0
1029,22702511,price,110.0
1030,22702574,price,328.0
1031,22713698,price,180.0
1032,22718778,price,99.0
1033,22729409,price,78.0
1034,22735501,price,99.0
1035,22817433,price,399.0
1036,22850980,price,130.0
1037,22851367,price,164.0
1038,22903375,price,175.0
1039,22904512,price,85.0
1040,22905570,price,175.0
1041,22925127,price,196.0
1042,22931554,price,60.0
1043,22938035,price,741.0
1044,22938316,price,248.0
1045,22943194,price,237.0
1046,22973593,price,150.0
1047,23002913,price,175.0
1048,23003777,price,165.0
1049,23020307,price,100.0
1050,23056643,price,60.0
1051,23062160,price,200.0
1052,23078420,price,55.0
1053,23111130,price,559.0
1054,23121835,price,293.0
1055,23125839,price,485.0
1056,23125977,price,289.0
1057,23126012,price,245.0
1058,23144970,price,95.0
1059,23161454,price,949.0
1060,23172118,price,175.0
1061,23205966,price,175.0
1062,23218832,price,74.0
1063,23231348,price,100.0
1064,23237255,price,125.0
1065,23238995,price,119.0
1066,23310375,price,200.0
1067,23340054,price,130.0
1068,23370526,price,213.0
1069,23381923,price,198.0
1070,23393580,price,485.0
1071,23413748,price,45.0
1072,23419304,price,278.0
1073,23436663,price,95.0
1074,23480707,price,288.0
1075,23481782,price,48.0
1076,23482505,price,175.0
1077,23482800,price,205.0
1078,23485127,price,250.0
1079,23487994,price,169.0
1080,23502564,price,206.0
1081,23507938,price,160.0
1082,23519364,price,150.0
1083,23527106,price,330.0
1084,23528634,price,100.0
1085,23547808,price,400.0
1086,23559355,price,200.0
1087,23563987,price,170.0
1088,23576621,price,109.0
1089,23578800,price,210.0
1090,23583730,price,37.0
1091,23615592,price,210.0
1092,23615744,price,260.0
1093,23615892,price,260.0
1094,23631177,price,250.0
1095,23667593,price,420.0
1096,23672204,price,100.0
1097,23769826,price,134.0
1098,23771188,price,160.0
1099,23800634,price,225.0
1100,23816739,price,40.0
1101,23822741,price,87.0
1102,23834095,price,149.0
1103,23862530,price,250.0
1104,23902297,price,35.0
1105,23916822,price,259.0
1106,23925549,price,157.0
1107,23949937,price,95.0
1108,23976574,price,130.0
1109,23976814,price,140.0
1110,23981929,price,312.0
1111,23985693,price,161.0
1112,23991651,price,391.0
1113,24000674,price,78.0
1114,24024651,price,120.0
1115,24066686,price,205.0
1116,24066913,price,175.0
1117,24088415,price,120.0
1118,24119846,price,80.0
1119,24133046,price,272.0
1120,24134940,price,398.0
1121,24140085,price,400.0
1122,24160835,price,109.0
1123,24183385,price,995.0
1124,24183433,price,215.0
1125,24185448,price,135.0
1126,24250201,price,110.0
1127,24253909,price,129.0
1128,24265852,price,242.0
1129,24293792,price,326.0
1130,24310129,price,115.0
1131,24313445,price,100.0
1132,24337332,price,90.0
1133,24358269,price,142.0
1134,24372189,price,321.0
1135,24372539,price,275.0
1136,24377235,price,160.0
1137,24379068,price,363.0
1138,24379576,price,305.0
1139,24380721,price,392.0
1140,24389296,price,274.0
1141,24396414,price,293.0
1142,24413898,price,165.0
1143,24448342,price,112.0
1144,24450782,price,167.0
1145,24454936,price,450.0
1146,24455362,price,130.0
1147,24469246,price,369.0
1148,24474689,price,290.0
1149,24500508,price,457.0
1150,24501265,price,308.0
1151,24503070,price,514.0
1152,24517031,price,50.0
1153,24528249,price,160.0
